Campaign,Campaign Type,Campaign Daily Budget,Bid Strategy Type,Networks,Languages,Location,Campaign Status,Ad Group,Max CPC,Ad Group Status,Keyword,Criterion Type,Keyword Status,Ad Type,Final URL,Path 1,Path 2,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Ad Status
CMD | CABA,Search,35000,Maximize clicks,Google Search,es,"Ciudad Autónoma de Buenos Aires, Argentina",Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMD | CABA,,,,,,,,,,,gratis,Campaign Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,
CMD | CABA,,,,,,,,,,,gratuito,Campaign Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,
CMD | CABA,,,,,,,,,,,gratuita,Campaign Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,
CMD | CABA,,,,,,,,,,,sin costo,Campaign Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,
CMD | CABA,,,,,,,,,,,trabajo,Campaign Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,
CMD | CABA,,,,,,,,,,,empleo,Campaign Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,
CMD | CABA,,,,,,,,,,,curso,Campaign Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,
CMD | CABA,,,,,,,,,,,cursos,Campaign Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,
CMD | CABA,,,,,,,,,,,capacitacion,Campaign Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,
CMD | CABA,,,,,,,,,,,cv,Campaign Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,
CMD | CABA,,,,,,,,,,,curriculum,Campaign Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,
CMD | CABA,,,,,,,,,,,se busca,Campaign Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,
CMD | CABA,,,,,,,,,,,busco trabajo,Campaign Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,
CMD | CABA,,,,,,,,,,,changas,Campaign Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,
CMD | CABA,,,,,,,,,,,franquicia,Campaign Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,
CMD | CABA,,,,,,,,,,,franquicias,Campaign Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,
CMD | CABA,,,,,,,,,,,vender,Campaign Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,
CMD | CABA,,,,,,,,,,,venta de camiones,Campaign Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,
