Campaign,Link text,Description line 1,Description line 2,Final URL
CMD | CABA,Plataforma elevadora,Hasta 1.200 kg de capacidad,"Pianos, cajas fuertes, máquinas",https://www.cmdmudanzas.com/#plataforma
CMD | CABA,Mudanzas compartidas,Pagás solo el espacio que usás,Hasta 50% más económica,https://www.cmdmudanzas.com/#compartidas
CMD | CABA,Cobertura nacional,Las 24 provincias del país,Camiones propios y seguro,https://www.cmdmudanzas.com/#cobertura
CMD | CABA,Cotizá sin cargo,Respuesta en menos de 24 horas,Sin compromiso ni obligación,https://www.cmdmudanzas.com/#cotizador
CMD | CABA,Empresas y oficinas,"Locales, depósitos y oficinas",Coordinamos fuera de horario,https://www.cmdmudanzas.com/#tipos
CMD | CABA,Cómo trabajamos,Del presupuesto a la entrega,"Embalaje, carga y descarga",https://www.cmdmudanzas.com/#proceso
CMD | Provincia de Buenos Aires,Plataforma elevadora,Hasta 1.200 kg de capacidad,"Pianos, cajas fuertes, máquinas",https://www.cmdmudanzas.com/#plataforma
CMD | Provincia de Buenos Aires,Mudanzas compartidas,Pagás solo el espacio que usás,Hasta 50% más económica,https://www.cmdmudanzas.com/#compartidas
CMD | Provincia de Buenos Aires,Cobertura nacional,Las 24 provincias del país,Camiones propios y seguro,https://www.cmdmudanzas.com/#cobertura
CMD | Provincia de Buenos Aires,Cotizá sin cargo,Respuesta en menos de 24 horas,Sin compromiso ni obligación,https://www.cmdmudanzas.com/#cotizador
CMD | Provincia de Buenos Aires,Empresas y oficinas,"Locales, depósitos y oficinas",Coordinamos fuera de horario,https://www.cmdmudanzas.com/#tipos
CMD | Provincia de Buenos Aires,Cómo trabajamos,Del presupuesto a la entrega,"Embalaje, carga y descarga",https://www.cmdmudanzas.com/#proceso
CMD | Interior,Plataforma elevadora,Hasta 1.200 kg de capacidad,"Pianos, cajas fuertes, máquinas",https://www.cmdmudanzas.com/#plataforma
CMD | Interior,Mudanzas compartidas,Pagás solo el espacio que usás,Hasta 50% más económica,https://www.cmdmudanzas.com/#compartidas
CMD | Interior,Cobertura nacional,Las 24 provincias del país,Camiones propios y seguro,https://www.cmdmudanzas.com/#cobertura
CMD | Interior,Cotizá sin cargo,Respuesta en menos de 24 horas,Sin compromiso ni obligación,https://www.cmdmudanzas.com/#cotizador
CMD | Interior,Empresas y oficinas,"Locales, depósitos y oficinas",Coordinamos fuera de horario,https://www.cmdmudanzas.com/#tipos
CMD | Interior,Cómo trabajamos,Del presupuesto a la entrega,"Embalaje, carga y descarga",https://www.cmdmudanzas.com/#proceso
